run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetFog-0-20250504-09:46:25-69538,runattr,,,configname,targetFog,,
targetFog-0-20250504-09:46:25-69538,runattr,,,datetime,20250504-09:46:25,,
targetFog-0-20250504-09:46:25-69538,runattr,,,datetimef,20250504-094625,,
targetFog-0-20250504-09:46:25-69538,runattr,,,experiment,targetFog,,
targetFog-0-20250504-09:46:25-69538,runattr,,,inifile,omnetpp.ini,,
targetFog-0-20250504-09:46:25-69538,runattr,,,iterationvars,,,
targetFog-0-20250504-09:46:25-69538,runattr,,,iterationvarsd,,,
targetFog-0-20250504-09:46:25-69538,runattr,,,iterationvarsf,,,
targetFog-0-20250504-09:46:25-69538,runattr,,,measurement,,,
targetFog-0-20250504-09:46:25-69538,runattr,,,network,SimpleFogNetwork,,
targetFog-0-20250504-09:46:25-69538,runattr,,,processid,69538,,
targetFog-0-20250504-09:46:25-69538,runattr,,,repetition,0,,
targetFog-0-20250504-09:46:25-69538,runattr,,,replication,#0,,
targetFog-0-20250504-09:46:25-69538,runattr,,,resultdir,results,,
targetFog-0-20250504-09:46:25-69538,runattr,,,runnumber,0,,
targetFog-0-20250504-09:46:25-69538,runattr,,,seedset,0,,
targetFog-0-20250504-09:46:25-69538,config,,,image-path,../../images:../../../inet4.5/images,,
targetFog-0-20250504-09:46:25-69538,config,,,*.user.deploymentZone,"""edge""",,
targetFog-0-20250504-09:46:25-69538,config,,,network,SimpleFogNetwork,,
targetFog-0-20250504-09:46:25-69538,config,,,print-undisposed,true,,
targetFog-0-20250504-09:46:25-69538,config,,,sim-time-limit,1h,,
targetFog-0-20250504-09:46:25-69538,config,,,**.sensor**.statistic-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.actuator**.statistic-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.ap.**.statistic-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.dns**.statistic-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.eth[*].**.statistic-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.ipv4.**.statistic-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.dns**.scalar-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.ap**.scalar-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.sensor**.scalar-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.actuator**.scalar-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.eth[*].**.scalar-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,**.ipv4.**.scalar-recording,false,,
targetFog-0-20250504-09:46:25-69538,config,,,*.simData.manager.experiment,"""Test""",,
targetFog-0-20250504-09:46:25-69538,config,,,*.simData.engine.typename,JsonDataEngine,,
targetFog-0-20250504-09:46:25-69538,config,,,*.simData.engine.apps,"readJSON(""../../database/json/apps.json"")",,
targetFog-0-20250504-09:46:25-69538,config,,,*.simData.engine.vms,"readJSON(""../../database/json/vms.json"")",,
targetFog-0-20250504-09:46:25-69538,config,,,*.simData.engine.slas,[],,
targetFog-0-20250504-09:46:25-69538,config,,,*.simData.engine.users,[],,
targetFog-0-20250504-09:46:25-69538,config,,,*.simData.engine.experiments,[],,
targetFog-0-20250504-09:46:25-69538,config,,,num-rngs,4,,
targetFog-0-20250504-09:46:25-69538,config,,,**.local.ipv4Delayer.rng-0,1,,
targetFog-0-20250504-09:46:25-69538,config,,,**.metropolitan.ipv4Delayer.rng-0,2,,
targetFog-0-20250504-09:46:25-69538,config,,,**.backbone.ipv4Delayer.rng-0,3,,
targetFog-0-20250504-09:46:25-69538,config,,,*.local.ipv4Delayer.config,"xmldoc(""network/local.xml"")",,
targetFog-0-20250504-09:46:25-69538,config,,,*.metropolitan.ipv4Delayer.config,"xmldoc(""network/metropolitan.xml"")",,
targetFog-0-20250504-09:46:25-69538,config,,,*.backbone.ipv4Delayer.config,"xmldoc(""network/backbone.xml"")",,
targetFog-0-20250504-09:46:25-69538,config,,,*.configurator.config,"readXML(""network/networkconf.xml"")",,
targetFog-0-20250504-09:46:25-69538,config,,,*.dns.db.zoneConfig,"readJSON(""network/dnszones.json"")",,
targetFog-0-20250504-09:46:25-69538,config,,,**.ipv4.arp.typename,GlobalArp,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.numBlades,40,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.zone,"""cloud""",,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].maxUsers,16,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].maxVMs,16,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].numCpuCores,16,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].memorySize,64GB,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].diskSize,4000GB,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250504-09:46:25-69538,config,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.numBlades,10,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.zone,"""edge""",,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].staticAppAssignment,false,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].maxUsers,8,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].maxVMs,8,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].numCpuCores,8,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].memorySize,16GB,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].diskSize,2000GB,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250504-09:46:25-69538,config,,,**.dataManagerPath,"""simData.manager""",,
targetFog-0-20250504-09:46:25-69538,config,,,**.smqIp,"""10.0.0.1""",,
targetFog-0-20250504-09:46:25-69538,config,,,**.dns,"""10.0.0.2""",,
targetFog-0-20250504-09:46:25-69538,config,,,**.ispResolver,"""10.0.0.2""",,
targetFog-0-20250504-09:46:25-69538,config,,,*.user.vms,"[{""name"":""my-vm"", ""type"":""VM_small""}]",,
targetFog-0-20250504-09:46:25-69538,config,,,*.user.remoteApps,"[{""name"":""my-service"", ""type"": ""SmallIotService"",""platform"":""my-vm""}]",,
